item,id_netux,criterio_calificacion,nombre_equipo,estado_informe,codigo_certificado,marca,serie,descripcion,iq,oq,pq,cal,centro_costo,area,ubicacion_fisica,proveedor,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fecha,dias_vigencia_certificado,torre,pendientes,p_iq,p_oq,p_pq,p_cal,precio_unitario
---,,Cumple,Congelador ,En Revisión,2996 // 3701,Sanyo,111100803,Verificación metrologica // Calibración,,OQ,PQ,CAL,5100.0,Cedismed,CONGELADOR PROVEEDOR ,Ainser,,,,,,,X,,,,,,2025-07-05,337,Sótano,Realizado,0,0.0,0.0,0.0,300000
CALIFICACIÓN DE DESEMPEÑO POR 4 HORAS Y 2 HORAS DE CALIBRACIÓN,,Cumple,Incubadora,,2459,Memmert,890036,Verificación metrologica // Calibración,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Microbiologia - Sede 102 - Antibiogramas,Ainser,,,,,,,,,,,X,,2024-11-12,102,Torre A,Realizado,0,0.0,0.0,0.0,300000
RECEPCIÓN OK ,,Cumple,Báscula (250 kg),En Revisión,2025-04-CM022 // CMA-24-27325-S,ADE,52833-1033961-00056,Calibración metrologica,,,,CAL,3800.0,Unidad de la Mujer,Unidad de la mujer,Ainser - Asimetric,,,,X,,,,,,,,,2025-04-23,264,Torre D,Realizado,0,0.0,0.0,0.0,120000
RECEPCIÓN OK,,,Balanza (3000 g),En Revisión,CC 419758,Seca,8856216170421,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 3 C.304,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre C,Realizado,0,0.0,0.0,0.0,84311
---,,,Balanza (3000 g),En Revisión,CC 419878,Seca,8856216170363,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 3 C.302,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre C,Realizado,0,0.0,0.0,0.0,84311
Recepción ok,,,Balanza analítica,En Revisión,CC 419880,Boeco,5547,Calibración metrologica,,,,CAL,4010.0,Lactario,Lactario,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre C,Realizado,0,0.0,0.0,0.0,120445
---,,,Báscula (150 kg),En Revisión,CC 419883,Health O Meter,4020041789,Calibración metrologica,,,,CAL,2600.0,Rehabilitación cardíaca,Rehabilitación cardiaca,Celsius,,,,,,,,,X,,,,2024-09-10,39,Torre F,Realizado,0,0.0,0.0,0.0,84311
"-0,8 kg",,,Báscula (150 kg),En Revisión,CC 402351 // CC 452710,Soehnle,CI 018542 - 08449,Calibración metrologica,,,,CAL,2500.0,Medicina Nuclear,Medicina Nuclear THP2,Celsius,,,,,X,,,,,,,,2025-05-06,277,Torre H,Realizado,0,0.0,0.0,0.0,84311
"0,1 kg",,,Báscula (150 kg),En Revisión,CC 397573 // CC 451569,Health O Meter,4020074181,Calibración metrologica,,,,CAL,7407.0,Consulta externa,Torre I piso 7 C.712,Celsius,,,,,X,,,,,,,,2025-04-28,269,Torre I,Realizado,0,0.0,0.0,0.0,84311
"-0,9 kg",,Cumple,Báscula (150 kg),En Revisión,CC 397568 // CC 448273,Soehnle,17931,Calibración metrologica,,,,CAL,7408.0,Consulta externa,Torre I piso 8 C.813,Celsius,,,,X,,,,,,,,,2025-04-09,250,Torre I,Realizado,0,0.0,0.0,0.0,84311
---,,Cumple,Congelador ,En Revisión,3005 // 3835,Vestfrost,20104430331,Calificación metrologica,,OQ,PQ,CAL,2300.0,Laboratorio Clínico,Ambulatorio Torre H. Toma de muestras pediatria,Ainser,,,,,,,X,,,,,,2025-07-26,358,Torre F,Realizado,0,0.0,0.0,0.0,650000
---,,Cumple,Báscula (250 kg),En Revisión,CC 402799 // 2025-04-CM-006,Seca,5876259151249,Calibración metrologica,,,,CAL,7404.0,Consulta externa,Torre I piso 4 C.418,Ainser - Asimetric,,,,,X,,,,,,,,2025-06-18,320,Torre I,Realizado,0,0.0,0.0,0.0,120000
"Equipo no es cardio, proveedor hace la calibración  - FALTA CC",,,Micropipeta,En Revisión,CC 417970,Biorad,8119013,Calibración metrologica,,OQ,PQ,CAL,3100.0,Banco de sangre,Banco de sangre ,Celsius,,,,,,,,X,,,,,2024-09-01,30,Torre H,Realizado,0,0.0,0.0,0.0,111109
100 - 1000 µl,,Cumple,Micropipeta,En Revisión,CC 436691,Brand,16A03685,Calibración metrologica,,OQ,PQ,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,X,,,,,,,,,,,,2025-01-27,178,Torre H,Realizado,0,0.0,0.0,0.0,111109
---,,,Balanza (5000 g),En Revisión,CC 387684 // CC441675,Seca,8856057210165,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos,Hospitalización Adultos - TAP4,Celsius,,X,,,,,,,,,,,2025-02-26,208,Torre A,Realizado,0,0.0,0.0,0.0,84311
CALIFICACIÓN DESEMPEÑO Y CALIBRACIÓN - 25/10/2024 - 8:00AM - OBSERVACIÓN A LA HORA DE REALIZAR EL MONTAJE NO PUEDE BAJAR DE -30° PENDIENTE CONFIRMACION DE SERVICIO SI SE RETIRA O CONTINUA - equipo pendiente,,Para Reprogramación,Congelador ,En Revisión,2420,Artiko,20180362935,Calificación metrologica,,OQ,PQ,CAL,4301.0,Investigaciones,Investigaciones ,Ainser,,,,,,,,,,X,,,2024-10-31,90,Torre H,Realizado,0,0.0,0.0,0.0,300000
(0-150)psi RECEPCIÓN OK,,,Manometro (0-150)psi,En Revisión,CC 368608  // CC 424783,Winters,04145,Calibración metrologica,,,,CAL,4300.0,SAM,Punto de muestreo,Celsius,,,,,,,,,,X,,,2024-10-24,83,Sótano,Realizado,0,0.0,0.0,0.0,87996
